Electorate,Place,Address,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
"Taranaki-King Country","Te Awamutu","Te Awamutu Primary School, 401 Teasdale Street",0,1,0,1,0,9,1,0,0,2,0,0,0,0,0,0,0,14,0
"Taranaki-King Country","Te Awamutu","Te Awamutu Scout Hall, 11 Scout Lane",2,0,0,5,0,26,9,5,1,3,0,0,0,0,0,0,0,51,0
"Taranaki-King Country","Te Awamutu","Te Awamutu Zion Church, 1310 Racecourse Road",0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,9,0
"Taranaki-King Country","Te Kowhai","Te Kowhai Hall, 6 Horotiu Road",0,0,0,0,0,11,3,1,0,0,0,0,0,0,0,0,0,15,1
"Taranaki-King Country","Te Pahu","Te Pahu School, 671 Te Pahu Road",0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,6,0
"Taranaki-King Country","Te Uku","Te Uku School Hall, 3436 State Highway 23",0,2,0,2,0,10,2,1,0,0,0,0,0,0,0,0,0,17,1
"Taranaki-King Country","Whatawhata","Whatawhata School, 9 Kura Street",2,1,0,2,0,31,5,3,1,1,0,0,0,0,0,0,1,47,1
"Taupō","Cambridge","Cambridge East School, Corner Bowen & Williams Streets",3,0,0,0,0,8,1,0,0,2,0,0,0,0,0,0,0,14,0
"Taupō","Cambridge","Cambridge High School, 25 Swayne Road",0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,6,0
"Taupō","Cambridge","Cambridge Middle School, Corner Clare & Grey Streets",0,0,0,2,0,6,1,4,1,1,0,0,0,0,0,0,0,15,0
"Taupō","Cambridge","Cambridge Primary School, 3 Wilson Street",0,0,0,1,0,8,3,2,0,0,0,0,0,0,0,0,1,15,0
"Taupō","Cambridge","Leamington Primary School, Corner Lamb & Scott Streets",0,0,1,2,0,13,1,4,0,2,0,0,0,0,0,0,0,23,0
"Taupō","Cambridge","Raleigh Street Christian Centre, 24 Raleigh Street",0,3,1,4,0,31,4,0,0,1,0,0,0,0,0,0,0,44,0
