"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Botany","Flat Bush","Kia Aroha College, 51 Othello Drive","Regular",0,0,0,1,0,9,0,201,0,5,39,17,0,0,3,0,275,2
"Botany","Flat Bush","Mission Heights Primary School, 103 Jeffs Road","Regular",2,0,0,0,0,0,0,27,0,0,83,3,0,0,1,0,116,0
"Botany","Flat Bush","Ormiston Senior College, 275 Ormiston Road","Regular",1,1,0,0,0,7,0,106,0,1,175,11,0,0,3,0,305,0
"Botany","Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive","Regular",2,1,0,0,0,8,0,96,0,0,192,20,0,1,6,0,326,0
"Botany","Howick","Cockle Bay School, 24 Sandspit Road","Regular",11,3,0,3,0,28,0,180,1,1,608,48,1,1,15,3,903,0
"Botany","Howick","Howick Intermediate School, 1 Botany Road","Regular",2,1,0,3,0,5,0,49,0,2,128,23,0,0,2,0,215,2
"Botany","Howick","Owairoa Primary School, corner Wellington & Nelson Streets","Regular",2,3,0,0,0,3,0,32,0,0,103,11,1,0,1,0,156,0
"Botany","Manukau","Redoubt North Wesleyan Church, 51 Diorella Drive","Regular",2,0,0,0,0,0,0,14,0,0,11,0,0,0,0,0,27,0
"Botany","Meadowlands","Auckland Fijian Methodist Church, 128 Whitford Road","Regular",6,2,0,4,0,17,0,161,0,4,564,46,4,2,8,1,819,0
"Botany","Northpark","Our Lady Star of the Sea School, 14 Oakridge Way","Regular",5,0,0,5,0,9,0,83,0,2,372,24,0,0,9,1,510,0
"Botany","Otara","East Tamaki Primary School, 196 Preston Road","Regular",0,2,0,1,0,1,0,60,0,2,5,1,0,0,0,0,72,0
"Botany","Otara","Ferguson Intermediate School, 20-40 Ferguson Road","Regular",0,0,0,0,0,1,0,39,0,0,5,1,0,0,0,0,46,0
"Botany","Otara","Flat Bush School, 20 Flat Bush Road","Regular",0,1,0,0,0,2,0,69,0,0,2,4,0,0,1,0,79,1
"Botany","Otara","Mayfield School, 12 Pearl Baker Drive","Regular",0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,9,0
"Botany","Pakuranga","Pakuranga Recreation & Youth Centre, 13c Reeves Road","Regular",1,0,0,0,0,1,0,18,0,1,25,1,0,0,0,0,47,0
"Botany","Somerville","Somerville Intermediate School, 39 Somerville Road","Regular",3,2,0,2,0,16,0,86,0,1,333,25,0,1,3,0,472,3
"Botany","Whitford","Whitford Hall, 1 Whitford-Maraetai Road","Regular",0,0,0,0,0,0,0,2,0,0,20,0,0,0,1,0,23,0
"Botany",NA,"Overseas Special Votes Including Defence Force - Botany","Special",1,1,0,0,0,44,0,197,0,4,366,15,0,1,11,1,641,2
"Botany",NA,"Special Votes BEFORE Polling Day - Botany","Special",7,5,4,4,0,72,0,895,5,27,1284,63,6,2,25,1,2400,7
"Botany",NA,"Special Votes ON Polling Day - Botany","Special",8,4,0,6,0,54,0,649,0,12,983,63,1,0,26,3,1809,7
"Botany",NA,"Votes Allowed for Party Only - Botany","Special",2,1,0,2,0,13,0,273,4,2,200,24,0,0,7,2,530,9
"Botany",NA,"Voting places where less than 6 votes were taken","Special",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0
"Christchurch Central",NA,"Rest Homes & Forte Health Hospital Team 2","Advance",0,0,0,1,0,21,0,172,0,1,192,20,1,0,2,0,410,1
