"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Ikaroa-Rāwhiti","Mahora","Mobile Team 2 - Rest Homes taken in Tukituki","Advance",0,0,0,0,0,0,0,8,0,4,1,0,0,0,0,0,13,0
"Ikaroa-Rāwhiti","Mahora","Mobile Team 3 - Hawkes Bay Regional Prison","Advance",0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,12,0
"Ikaroa-Rāwhiti","Mahora","Mobile Team 4 - Hawkes Bay Regional Hospital","Advance",0,0,0,0,0,2,0,25,0,5,3,3,0,0,1,0,39,1
"Ikaroa-Rāwhiti","Mahora","Hospital & Rest Homes Team South - Taken in Wairarapa","Advance",0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,7,1
"Ikaroa-Rāwhiti","Carterton","Number 23, opposite Carterton District Council, 23 Holloway Street","Advance",0,1,0,0,0,2,0,30,0,8,4,12,1,0,0,0,58,3
"Ikaroa-Rāwhiti","Dannevirke","The Hub (access from Allardice Street carpark), 23 Gordon Street","Advance",1,1,0,0,0,9,0,117,3,23,11,23,0,0,2,0,190,1
"Ikaroa-Rāwhiti","Featherston","Featherston Information Centre Building, 70-72 Fitzherbert Street","Advance",0,1,0,0,0,3,0,32,1,5,3,4,0,0,2,0,51,0
"Ikaroa-Rāwhiti","Greytown","Greytown Town Centre, The Forum, 89-91 Main Street","Advance",0,0,0,0,0,3,0,10,0,6,2,1,1,0,0,0,23,0
"Ikaroa-Rāwhiti","Martinborough","20 Jellicoe Street, next to Scotty's Meats","Advance",0,0,0,0,0,2,0,22,2,3,1,2,0,0,1,0,33,0
"Ikaroa-Rāwhiti","Masterton","157 Queen Street, next to Masterton District Council","Advance",0,0,0,1,0,11,0,124,1,69,17,22,1,0,6,0,252,3
