"Electorate","Place","Address","Type","ACT New Zealand","Advance NZ","Aotearoa Legalise Cannabis Party","Green Party","HeartlandNZ","Labour Party","Māori Party","National Party","New Conservative","New Zealand First Party","NZ Outdoors Party","ONE Party","Social Credit","Sustainable New Zealand Party","TEA Party","The Opportunities Party (TOP)","Vision New Zealand","Total Valid Party Votes","Informal Party Votes"
"Tauranga","Matua","Ferguson Park Clubrooms, Tilby Rd","Regular",41,0,0,9,0,111,0,137,11,16,1,0,0,0,0,4,0,330,2
"Tauranga","Matua","Matua School, 147 Levers Rd","Regular",60,3,0,29,0,198,2,190,18,36,2,0,0,0,0,6,1,545,1
"Tauranga","Maungatapu","Maungatapu Kindergarten, 187 Te Hono Street","Regular",1,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0
"Tauranga","Maungatapu","Maungatapu School, 164 Maungatapu Road","Regular",0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0
"Tauranga","Merivale","Fraser Cove Centre ex Toyworld, 221 Fraser St","Regular",19,4,3,10,0,160,1,74,8,13,2,1,0,0,0,1,0,296,6
"Tauranga","Mount Maunganui","Arataki Community Centre, Zambuk Way (off Grenada Street)","Regular",3,0,0,1,0,8,0,6,1,0,0,0,0,0,0,2,0,21,0
"Tauranga","Mount Maunganui","Bayfair Shopping Centre (opposite Cotton On, near Countdown), corner Girven & Maunganui Roads","Regular",8,1,0,6,0,49,1,39,0,2,0,0,0,0,0,1,1,108,0
"Tauranga","Mount Maunganui","Harbourside Netball Centre, Opposite 476 Maunganui Rd","Regular",13,0,0,9,0,50,0,46,3,2,0,0,0,0,0,3,0,126,0
"Tauranga","Mount Maunganui","HomeZone Shopping Centre - former Fruit and Vegetable shop, Unit 2B 2-10 Owens Place","Regular",5,1,1,0,0,5,0,9,0,2,0,0,0,0,0,2,0,25,0
"Tauranga","Mount Maunganui","Mount Maunganui Intermediate School, 21 Lodge Avenue","Regular",10,0,0,12,0,25,0,21,2,1,0,0,0,0,0,1,0,72,0
"Tauranga","Mount Maunganui","Mt Maunganui College, 565 Maunganui Road","Regular",19,3,0,3,0,64,0,58,1,8,0,0,0,0,0,2,0,158,0
"Tauranga","Mount Maunganui","Mt Maunganui Primary School, 13 Orkney Road","Regular",18,2,0,16,0,97,0,67,0,6,0,0,0,0,0,8,0,214,0
"Tauranga","Mount Maunganui","Mt Maunganui Surf Club, 21 Adams Avenue","Regular",10,1,0,8,0,47,1,31,1,2,0,0,0,0,0,2,0,103,1
"Tauranga","Mount Maunganui","Senior Citizens' Hall, 345 Maunganui Road","Regular",20,1,0,15,0,70,0,103,4,13,0,0,0,0,0,10,0,236,1
"Tauranga","Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road","Regular",0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0
"Tauranga","Ōmokoroa","Omokoroa Settler's Hall, 334 Omokoroa Road","Regular",0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,6,0
"Tauranga","Otūmoetai","Otumoetai Intermediate School, 5 Charles Street","Regular",28,7,0,16,0,127,1,74,8,12,0,0,0,0,0,2,0,275,3
"Tauranga","Otūmoetai","Otumoetai School, 236 Otumoetai Road","Regular",71,9,4,32,0,286,1,254,17,40,1,1,0,0,0,17,0,733,8
"Tauranga","Otūmoetai","St Columba Church Hall, 502 Otumoetai Road","Regular",50,4,1,21,0,179,1,189,15,42,0,1,0,0,0,7,0,510,3
"Tauranga","Papamoa Beach","Evans Road Community Church, 30 Evans Road","Regular",0,0,0,0,0,2,0,3,1,1,0,0,0,1,0,0,0,8,0
"Tauranga","Papamoa Beach","Papamoa Community Centre, 15 Gravatt Road","Regular",3,0,0,3,0,1,0,5,0,1,0,0,0,0,0,1,1,15,1
"Tauranga","Papamoa Beach","Papamoa Plaza, Shop 66 (Near Foodcourt), 7 Gravatt Road","Regular",0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,6,0
"Tauranga","Papamoa Beach","Papamoa Sport and Recreation Centre, 80 Alice Way","Regular",1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,8,0
"Tauranga","Pillans Point","Pillans Point School, 101 Maxwells Road","Regular",56,4,0,24,0,174,2,197,13,28,0,0,0,0,0,13,2,513,7
"Tauranga","Poike","Toi Ohomai Institute of Technology Library, Gate 1, 70 Windemere Drive","Regular",3,0,1,1,0,11,0,4,3,0,0,0,0,0,0,1,0,24,0
"Tauranga","Pyes Pa","Aquinas College, 183 Pyes Pa Road","Regular",57,0,0,7,0,139,2,166,19,12,0,2,0,0,0,6,0,410,3
"Tauranga","Pyes Pa","Pyes Pā School, 978 Pyes Pa Road","Regular",0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,8,0
"Tauranga","Pyes Pa","Taumata School, 145 Mortlake Heights","Regular",10,3,0,1,0,30,0,40,1,2,0,0,0,0,0,6,0,93,1
"Tauranga","Tauranga","Ex Frank Casey (Opposite ACC building), 89 Grey St","Regular",10,0,0,6,0,35,1,32,3,3,0,1,0,0,0,1,1,93,0
"Tauranga","Tauranga","Ex i-Site Centre (next to Tauranga Library), 95 Willow St","Regular",14,1,0,7,0,35,1,35,2,2,1,0,0,0,0,3,0,101,0
"Tauranga","Tauranga","Tauranga Primary School Hall, 31 5th Avenue","Regular",30,5,2,24,0,91,1,109,5,11,0,2,0,0,0,12,3,295,0
"Tauranga","Tauranga South","Central Baptist Church Hall, Corner Cameron Road & 13th Avenue","Regular",27,3,0,10,0,93,1,100,7,20,0,0,0,0,0,2,0,263,1
"Tauranga","Tauranga South","Tauranga Intermediate School, 30 Eighteenth Avenue","Regular",16,2,0,10,0,43,3,37,6,7,0,0,1,0,0,10,0,135,0
