Electorate,Place,Address,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
"Christchurch East","Shirley","Shirley Primary School, 11 Shirley Road",2,0,0,11,0,73,1,30,3,4,0,0,0,0,0,3,0,127,1
"Christchurch East","Shirley","The Palms Mall - Shop (beside Food Court), Corner Marshland & New Brighton Roads",39,1,3,26,1,231,1,90,13,9,0,1,1,1,0,6,0,423,5
"Christchurch East","South New Brighton","South New Brighton School, 160 Estuary Road",32,5,2,61,0,277,5,79,7,28,2,1,0,1,0,6,0,506,4
"Christchurch East","Sydenham","Powell Fenwick Building, 383 Colombo Street",0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,7,0
"Christchurch East","Wainoni","Ottawa Gardens Preschool, 49 Ottawa Road",9,1,2,10,0,108,0,18,6,3,0,0,0,0,0,3,0,160,0
"Christchurch East","Waltham","Opawa Baptist Church Hall, 285 Wilsons Road",4,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,8,0
"Coromandel","Athenree","Athenree Fire Brigade Hall, 43 Roretana Drive",12,0,0,8,0,52,0,47,2,8,0,0,0,0,0,0,0,129,1
"Coromandel","Bethlehem","Bethlehem Town Centre #3, 19 Bethlehem Road",1,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,8,0
"Coromandel","Bethlehem","Bethlehem Town Centre (between The Coffee Club & Columbus Coffee), 19 Bethlehem Road",0,1,0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,11,0
"Coromandel","Bethlehem","Bethlehem Town Centre (by Hammer Hardware), 19 Bethlehem Rd",4,0,0,0,0,11,0,2,0,1,0,0,0,0,0,2,0,20,1
"Coromandel","Colville","Colville School, 2391 Colville Road",13,2,0,31,0,41,0,14,4,3,1,1,0,0,0,0,0,110,0
"Coromandel","Cooks Beach","Cooks Beach Community Centre, Corner Purangi Road & Rees Avenue",25,3,2,9,0,71,1,67,1,10,0,0,0,0,0,1,0,190,2
"Coromandel","Coroglen","Coroglen School, 10 Rangihau Road",8,0,0,13,0,36,0,52,1,5,1,0,0,0,0,3,0,119,0
